holiday_date,holiday_name,country
2014-01-01,New Year's Day,AU
2014-01-27,Australia Day,AU
2014-04-18,Good Friday,AU
2014-04-19,Saturday before Easter Sunday,AU
2014-04-21,Easter Monday,AU
2014-04-25,Anzac Day,AU
2014-06-09,Queen's Birthday,AU
2014-12-25,Christmas Day,AU
2014-12-26,Boxing Day,AU
2015-01-01,New Year's Day,AU
2015-01-26,Australia Day,AU
2015-04-03,Good Friday,AU
2015-04-04,Saturday before Easter Sunday,AU
2015-04-06,Easter Monday,AU
2015-04-25,Anzac Day,AU
2015-06-08,Queen's Birthday,AU
2015-12-25,Christmas Day,AU
2015-12-26,Boxing Day,AU
2016-01-01,New Year's Day,AU
2016-01-26,Australia Day,AU
2016-03-25,Good Friday,AU
2016-03-26,Saturday before Easter Sunday,AU
2016-03-28,Easter Monday,AU
2016-04-25,Anzac Day,AU
2016-06-13,Queen's Birthday,AU
2016-12-25,Christmas Day,AU
2016-12-26,Boxing Day,AU
2017-01-01,New Year's Day,AU
2017-01-26,Australia Day,AU
2017-04-14,Good Friday,AU
2017-04-15,Saturday before Easter Sunday,AU
2017-04-17,Easter Monday,AU
2017-04-25,Anzac Day,AU
2017-06-12,Queen's Birthday,AU
2017-12-25,Christmas Day,AU
2017-12-26,Boxing Day,AU
2018-01-01,New Year's Day,AU
2018-01-26,Australia Day,AU
2018-03-30,Good Friday,AU
2018-03-31,Saturday before Easter Sunday,AU
2018-04-02,Easter Monday,AU
2018-04-25,Anzac Day,AU
2018-06-11,Queen's Birthday,AU
2018-12-25,Christmas Day,AU
2018-12-26,Boxing Day,AU
2019-01-01,New Year's Day,AU
2019-01-28,Australia Day,AU
2019-04-19,Good Friday,AU
2019-04-20,Saturday before Easter Sunday,AU
2019-04-22,Easter Monday,AU
2019-04-25,Anzac Day,AU
2019-06-10,Queen's Birthday,AU
2019-12-25,Christmas Day,AU
2019-12-26,Boxing Day,AU
2020-01-01,New Year's Day,AU
2020-01-27,Australia Day,AU
2020-04-10,Good Friday,AU
2020-04-11,Saturday before Easter Sunday,AU
2020-04-13,Easter Monday,AU
2020-04-25,Anzac Day,AU
2020-06-08,Queen's Birthday,AU
2020-12-25,Christmas Day,AU
2020-12-26,Boxing Day,AU
2021-01-01,New Year's Day,AU
2021-01-26,Australia Day,AU
2021-04-02,Good Friday,AU
2021-04-03,Saturday before Easter Sunday,AU
2021-04-05,Easter Monday,AU
2021-04-25,Anzac Day,AU
2021-06-14,Queen's Birthday,AU
2021-12-25,Christmas Day,AU
2021-12-26,Boxing Day,AU
2022-01-01,New Year's Day,AU
2022-01-26,Australia Day,AU
2022-04-15,Good Friday,AU
2022-04-16,Saturday before Easter Sunday,AU
2022-04-18,Easter Monday,AU
2022-04-25,Anzac Day,AU
2022-06-13,Queen's Birthday,AU
2022-12-25,Christmas Day,AU
2022-12-26,Boxing Day,AU
2023-01-01,New Year's Day,AU
2023-01-26,Australia Day,AU
2023-04-07,Good Friday,AU
2023-04-08,Saturday before Easter Sunday,AU
2023-04-10,Easter Monday,AU
2023-04-25,Anzac Day,AU
2023-06-12,Queen's Birthday,AU
2023-12-25,Christmas Day,AU
2023-12-26,Boxing Day,AU
2024-01-01,New Year's Day,AU
2024-01-26,Australia Day,AU
2024-03-29,Good Friday,AU
2024-03-30,Saturday before Easter Sunday,AU
2024-04-01,Easter Monday,AU
2024-04-25,Anzac Day,AU
2024-06-10,Queen's Birthday,AU
2024-12-25,Christmas Day,AU
2024-12-26,Boxing Day,AU
2025-01-01,New Year's Day,AU
2025-01-27,Australia Day,AU
2025-04-18,Good Friday,AU
2025-04-19,Saturday before Easter Sunday,AU
2025-04-21,Easter Monday,AU
2025-04-25,Anzac Day,AU
2025-06-09,Queen's Birthday,AU
2025-12-25,Christmas Day,AU
2025-12-26,Boxing Day,AU
