holiday_date,holiday_name,country
2014-01-01,New Year's Day,UK
2014-04-18,Good Friday,UK
2014-04-21,Easter Monday,UK
2014-05-05,Early May Bank Holiday,UK
2014-05-26,Spring Bank Holiday,UK
2014-08-25,Summer Bank Holiday,UK
2014-12-25,Christmas Day,UK
2014-12-26,Boxing Day,UK
2015-01-01,New Year's Day,UK
2015-04-03,Good Friday,UK
2015-04-06,Easter Monday,UK
2015-05-04,Early May Bank Holiday,UK
2015-05-25,Spring Bank Holiday,UK
2015-08-31,Summer Bank Holiday,UK
2015-12-25,Christmas Day,UK
2015-12-26,Boxing Day,UK
2016-01-01,New Year's Day,UK
2016-03-25,Good Friday,UK
2016-03-28,Easter Monday,UK
2016-05-02,Early May Bank Holiday,UK
2016-05-30,Spring Bank Holiday,UK
2016-08-29,Summer Bank Holiday,UK
2016-12-25,Christmas Day,UK
2016-12-26,Boxing Day,UK
2017-01-01,New Year's Day,UK
2017-04-14,Good Friday,UK
2017-04-17,Easter Monday,UK
2017-05-01,Early May Bank Holiday,UK
2017-05-29,Spring Bank Holiday,UK
2017-08-28,Summer Bank Holiday,UK
2017-12-25,Christmas Day,UK
2017-12-26,Boxing Day,UK
2018-01-01,New Year's Day,UK
2018-03-30,Good Friday,UK
2018-04-02,Easter Monday,UK
2018-05-07,Early May Bank Holiday,UK
2018-05-28,Spring Bank Holiday,UK
2018-08-27,Summer Bank Holiday,UK
2018-12-25,Christmas Day,UK
2018-12-26,Boxing Day,UK
2019-01-01,New Year's Day,UK
2019-04-19,Good Friday,UK
2019-04-22,Easter Monday,UK
2019-05-06,Early May Bank Holiday,UK
2019-05-27,Spring Bank Holiday,UK
2019-08-26,Summer Bank Holiday,UK
2019-12-25,Christmas Day,UK
2019-12-26,Boxing Day,UK
2020-01-01,New Year's Day,UK
2020-04-10,Good Friday,UK
2020-04-13,Easter Monday,UK
2020-05-08,Early May Bank Holiday,UK
2020-05-25,Spring Bank Holiday,UK
2020-08-31,Summer Bank Holiday,UK
2020-12-25,Christmas Day,UK
2020-12-26,Boxing Day,UK
2021-01-01,New Year's Day,UK
2021-04-02,Good Friday,UK
2021-04-05,Easter Monday,UK
2021-05-03,Early May Bank Holiday,UK
2021-05-31,Spring Bank Holiday,UK
2021-08-30,Summer Bank Holiday,UK
2021-12-25,Christmas Day,UK
2021-12-26,Boxing Day,UK
2022-01-01,New Year's Day,UK
2022-04-15,Good Friday,UK
2022-04-18,Easter Monday,UK
2022-05-02,Early May Bank Holiday,UK
2022-06-02,Spring Bank Holiday,UK
2022-06-03,Platinum Jubilee Bank Holiday,UK
2022-08-29,Summer Bank Holiday,UK
2022-12-25,Christmas Day,UK
2022-12-26,Boxing Day,UK
2023-01-01,New Year's Day,UK
2023-04-07,Good Friday,UK
2023-04-10,Easter Monday,UK
2023-05-01,Early May Bank Holiday,UK
2023-05-08,Bank Holiday for the Coronation of King Charles III,UK
2023-05-29,Spring Bank Holiday,UK
2023-08-28,Summer Bank Holiday,UK
2023-12-25,Christmas Day,UK
2023-12-26,Boxing Day,UK
2024-01-01,New Year's Day,UK
2024-03-29,Good Friday,UK
2024-04-01,Easter Monday,UK
2024-05-06,Early May Bank Holiday,UK
2024-05-27,Spring Bank Holiday,UK
2024-08-26,Summer Bank Holiday,UK
2024-12-25,Christmas Day,UK
2024-12-26,Boxing Day,UK
2025-01-01,New Year's Day,UK
2025-04-18,Good Friday,UK
2025-04-21,Easter Monday,UK
2025-05-05,Early May Bank Holiday,UK
2025-05-26,Spring Bank Holiday,UK
2025-08-25,Summer Bank Holiday,UK
2025-12-25,Christmas Day,UK
2025-12-26,Boxing Day,UK
